filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20180903_145422 00001.jpg,1248148,"{}",1,0,"{""name"":""rect"",""x"":304,""y"":912,""width"":186,""height"":341}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00002.jpg,1262438,"{}",1,0,"{""name"":""rect"",""x"":259,""y"":882,""width"":189,""height"":294}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00003.jpg,1269278,"{}",1,0,"{""name"":""rect"",""x"":250,""y"":878,""width"":198,""height"":307}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00004.jpg,1181899,"{}",1,0,"{""name"":""rect"",""x"":228,""y"":904,""width"":171,""height"":250}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00005.jpg,1139707,"{}",1,0,"{""name"":""rect"",""x"":149,""y"":869,""width"":198,""height"":277}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00006.jpg,1139707,"{}",1,0,"{""name"":""rect"",""x"":167,""y"":874,""width"":189,""height"":268}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00007.jpg,1100599,"{}",1,0,"{""name"":""rect"",""x"":132,""y"":860,""width"":198,""height"":277}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00008.jpg,1063534,"{}",1,0,"{""name"":""rect"",""x"":97,""y"":865,""width"":215,""height"":281}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00009.jpg,1038013,"{}",1,0,"{""name"":""rect"",""x"":83,""y"":865,""width"":202,""height"":268}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00010.jpg,1023040,"{}",1,0,"{""name"":""rect"",""x"":53,""y"":856,""width"":224,""height"":281}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00011.jpg,1025546,"{}",1,0,"{""name"":""rect"",""x"":44,""y"":856,""width"":228,""height"":290}","{""Type"":""Open"",""Contraband"":""Pistol""}"
20180903_145422 00012.jpg,1064066,"{}",1,0,"{""name"":""rect"",""x"":26,""y"":852,""width"":246,""height"":277}","{""Type"":""Open"",""Contraband"":""Pistol""}"
